supplier_id,price_competitiveness,cost_variability,total_spend,order_frequency,quality_rejection_rate,average_late_days
SUP-025,1.0376209098327098,0.1290356617863149,16010733.91,855,0.0140350877192982,0.2409356725146199
SUP-026,1.0540180484910298,0.1378546479392476,1197009.98,63,0.0158730158730158,0.492063492063492
SUP-027,1.001351073155357,0.1092826536098952,1286274.39,71,0.0,0.0985915492957746
SUP-028,1.0421175706562908,0.1252106577520922,21206582.0,1144,0.0131118881118881,0.2552447552447552
SUP-029,1.01165348046612,0.1856987806101554,6746321.83,384,0.109375,10.817708333333334
SUP-030,0.9389270931003286,0.1267524339185863,350282.48,21,0.0476190476190476,0.0952380952380952
SUP-031,1.0494592016882014,0.1214203885733252,340737.54000000004,18,0.0,0.4444444444444444
SUP-032,0.888354497588329,0.1295574381104185,11105069.03,693,0.0245310245310245,0.2741702741702742
SUP-033,0.9006004099194664,0.1300176858274569,7735372.63,479,0.0125260960334029,0.2421711899791231
SUP-034,1.0091573874147004,0.1350217934857202,12181112.88,690,0.0144927536231884,0.2753623188405797
SUP-035,0.994528922193113,0.1370370130342782,3134437.0,181,0.005524861878453,0.1988950276243093
SUP-036,1.0774281471974805,0.1309934269364978,11943662.41,640,0.015625,0.3171875
SUP-037,1.0455153026824742,0.0594936127860039,136771.16,46,0.0,0.391304347826087
SUP-038,1.0497963711409282,0.0533598419148003,5403804.6,1820,0.0137362637362637,0.2395604395604395
SUP-039,0.8999181045751191,0.0553307766679825,875849.45,346,0.0144508670520231,0.2254335260115607
SUP-040,1.0614862275855934,0.0536746181231704,3252242.39,1107,0.01806684733514,0.3107497741644083
SUP-041,1.0068977676872986,0.0571610840191807,248742.74,96,0.0104166666666666,0.34375
SUP-042,0.8951094156778234,0.0578970226183522,229228.0,93,0.010752688172043,0.4838709677419355
SUP-043,1.048070134429424,0.052408593571205,886208.16,294,0.0238095238095238,0.3265306122448979
SUP-044,0.9581279281715076,0.0506315994474784,908607.45,345,0.0115942028985507,0.2289855072463768
SUP-045,0.9167358737992084,0.0538017585893258,468904.38,177,0.0225988700564971,0.2372881355932203
SUP-046,0.9447963293939258,0.1411056228122597,4896798.27,1848,0.1168831168831168,10.496753246753247
SUP-047,1.066352749270042,0.0661757045208009,152757.48,35,0.0285714285714285,0.0285714285714285
SUP-048,1.124996973789555,0.0697347511462842,324352.72,59,0.0,0.1694915254237288
SUP-049,0.9347647605990078,0.0650224487395556,237036.07,59,0.0,0.3220338983050847
SUP-050,0.968352188406342,0.0666424999645266,4566720.9,1047,0.0114613180515759,0.2320916905444126
SUP-051,0.98427977942928,0.0668418947934723,10012041.29,2212,0.0149186256781193,0.2897830018083183
SUP-052,0.967819025280316,0.0662311558380445,3259532.52,718,0.0236768802228412,0.2646239554317549
SUP-053,1.0092009624184195,0.0689597497169566,1349961.36,290,0.0034482758620689,0.3379310344827586
SUP-054,1.0094064326294343,0.0671955988791148,1741708.37,370,0.0108108108108108,0.2135135135135135
SUP-055,1.081728320180253,0.0650301657907806,2753904.93,560,0.0196428571428571,0.1660714285714285
SUP-056,1.161405434277546,0.0682672438094939,1170242.79,206,0.0194174757281553,0.203883495145631
SUP-057,0.9971795097346774,0.0530319895647618,11565869.77,1649,0.0127349909035779,0.2092177077016373
SUP-058,1.0769554101352068,0.0277635856977025,49721.26,9,0.0,0.6666666666666666
SUP-059,1.0226598325840883,0.0523624452708004,4325802.42,591,0.0101522842639593,0.2690355329949238
SUP-060,0.984283205302178,0.051816784905884,1161818.86,172,0.005813953488372,0.3197674418604651
SUP-061,0.9909909304881406,0.0546148111634543,5083778.69,715,0.0153846153846153,0.2321678321678321
SUP-062,1.0642282687102151,0.0608991835009066,561670.9,79,0.0,0.2531645569620253
SUP-063,0.9231535144515134,0.1323048046950008,294435.02,48,0.1041666666666666,10.208333333333334
SUP-064,1.0831963064212244,0.0333762566940411,113526.39,15,0.0,0.0
SUP-065,0.9145658183465916,0.0522148495401831,236963.28,35,0.0,0.0571428571428571
SUP-066,1.0097217039828472,0.0202567262508926,45419.78,7,0.0,0.0
SUP-067,1.0278711084709762,0.0508719422647353,52130.36,50,0.02,0.52
SUP-068,0.9066377332309103,0.0418989439197647,24136.62,23,0.0,0.1739130434782608
SUP-069,0.8647934640593076,0.0479483425270807,135677.66,155,0.0064516129032258,0.2774193548387096
SUP-070,1.040782160774599,0.0434555794167359,16387.47,18,0.0,0.2222222222222222
SUP-071,1.02348037217139,0.0397938386865841,42677.9,41,0.0,0.5365853658536586
SUP-072,1.0172480459697208,0.0478034542158593,2613675.05,2462,0.0109666937449228,0.2363931762794476
SUP-073,0.9738619826651572,0.0565788244750122,56781.73,51,0.0,0.1176470588235294
SUP-074,0.9425898431013324,0.0457098474429128,144871.05,156,0.0064102564102564,0.3012820512820512
SUP-075,0.9488359165023692,0.0547480951625143,44062.01,42,0.0,0.1904761904761904
SUP-076,0.941670480750374,0.0460752860740395,55800.73,59,0.0,0.2033898305084746
SUP-077,0.9140192426582384,0.0468541239378045,116641.33,121,0.0,0.1487603305785124
SUP-078,0.9291191870288792,0.1418121721733372,187468.95,193,0.0984455958549222,11.00518134715026
SUP-079,1.0189322718888674,0.0503965662966827,1010624.74,925,0.0162162162162162,0.2151351351351351
SUP-080,1.0157233307617608,0.0439499336667585,71442.59,15,0.0,0.8
SUP-081,0.8957421235630889,0.111378112681956,2558860.68,471,0.0212314225053078,0.2760084925690021
SUP-082,0.8878485596308299,0.114578984625991,1629892.92,304,0.0197368421052631,0.2796052631578947
SUP-083,1.0347783087916134,0.1135246105777137,11017400.63,1732,0.0184757505773672,0.2713625866050808
SUP-084,1.0536640985092929,0.1348705499584502,132354.3,23,0.0434782608695652,0.3043478260869565
SUP-085,0.906166998817837,0.0148462828517999,17486.2,4,0.0,0.5
SUP-086,0.9438768033409434,0.1115664795589948,134862.68,25,0.0,0.16
SUP-087,0.9580917079334926,0.1100072678599568,1379428.48,242,0.0289256198347107,0.2809917355371901
SUP-088,0.8886401951232914,0.1646769868016667,22486.71,3,0.0,1.3333333333333333
SUP-089,1.008665627681525,0.1035895905730353,65105.73,10,0.0,0.1
SUP-090,1.0369725155722715,0.1013246065762896,363398.56,56,0.0178571428571428,0.0714285714285714
SUP-091,0.9191064796192632,0.0981829729084387,171617.89,31,0.032258064516129,0.1612903225806451
SUP-092,0.9483244409025666,0.110096739588101,1465396.92,259,0.0077220077220077,0.2895752895752895
SUP-093,1.030453549164311,0.1145813703893797,9495512.06,1529,0.0163505559189012,0.2230215827338129
SUP-094,1.0183743150534412,0.1115982103368409,324232.8,50,0.06,0.32
SUP-095,1.0026538223282908,0.0522360265103601,12149653.63,1353,0.0155210643015521,0.2675535846267554
SUP-096,0.8717635139222333,0.0494609889232577,221238.84,28,0.0,0.1785714285714285
SUP-097,0.9958946040179358,0.0596897531950543,10907185.71,1247,0.0192461908580593,0.2502004811547714
SUP-098,0.9183366196868664,0.0584546684140501,1020659.07,132,0.0151515151515151,0.25
SUP-099,1.0834737938860062,0.0562876278887889,561564.06,65,0.0307692307692307,0.2153846153846154
SUP-100,1.0382927052502045,0.0615922110792669,1677254.91,174,0.0229885057471264,0.2241379310344827
SUP-101,0.9525288322109824,0.0549796756873327,81096.7,10,0.0,0.0
SUP-102,0.9084111915951204,0.0606534256422518,5689957.03,710,0.0239436619718309,0.2394366197183098
SUP-103,1.0712682296931828,0.0633427280579735,1482987.6,156,0.0128205128205128,0.3846153846153846
SUP-104,1.0569810745859114,0.0549588131468613,188833.89,21,0.0,0.0476190476190476
SUP-105,1.0792070256631785,0.0649418561539143,6606243.68,708,0.0084745762711864,0.2372881355932203
SUP-106,1.0158622888314683,0.0533520858916588,519128.21,58,0.0344827586206896,0.4655172413793103
